datasheet_id|keyword|model|is_faction_keyword
1|warboss||False
1|character||False
1|infantry||False
1|<clan>||True
1|ork||True
2|warboss||False
2|character||False
2|infantry||False
2|mega armour||False
2|<clan>||True
2|ork||True
3|speed freeks||False
3|speedboss||False
3|character||False
3|biker||False
3|<clan>||True
3|ork||True
4|character||False
4|weirdboy||False
4|infantry||False
4|psyker||False
4|<clan>||True
4|ork||True
5|big mek|big mek|False
5|character|big mek|False
5|infantry|grot oiler|False
5|gretchin|grot oiler|False
5|infantry|big mek|False
5|grot oiler|grot oiler|False
5|<clan>||True
5|ork||True
6|big mek||False
6|character||False
6|infantry||False
6|mega armour||False
6|<clan>||True
6|ork||True
7|speed freeks||False
7|big mek||False
7|character||False
7|biker||False
7|<clan>||True
7|ork||True
8|warboss||False
8|monster||False
8|supreme commander||False
8|ghazghkull thraka||False
8|character||False
8|ork||True
8|goffs||True
9|character||False
9|flash gitz||False
9|warboss||False
9|kaptin badrukk||False
9|infantry||False
9|ork||True
9|freebooterz||True
10|stormboy||False
10|infantry||False
10|jump pack||False
10|character||False
10|boss zagstruk||False
10|fly||False
10|goffs||True
10|ork||True
11|infantry||False
11|boss snikrot||False
11|character||False
11|kommando||False
11|ork||True
11|blood axes||True
12|character||False
12|mek||False
12|infantry||False
12|ork||True
12|<clan>||True
13|infantry||False
13|character||False
13|painboy||False
13|ork||True
13|<clan>||True
14|speed freeks||False
14|painboy||False
14|character||False
14|biker||False
14|ork||True
14|<clan>||True
15|mad dok grotsnik||False
15|infantry||False
15|character||False
15|painboy||False
15|ork||True
15|deathskulls||True
16|infantry||False
16|tankbusta bombs||False
16|mob||False
16|boyz||False
16|core||False
16|<clan>||True
16|ork||True
17|gretchin||False
17|core||False
17|infantry||False
17|ork||True
17|<clan>||True
18|character||False
18|runtherd||False
18|infantry||False
18|ork||True
18|<clan>||True
19|core||False
19|mob||False
19|infantry||False
19|burna boyz||False
19|<clan>||True
19|ork||True
20|tankbusta bombs||False
20|infantry||False
20|core||False
20|mob||False
20|tankbustas||False
20|ork||True
20|<clan>||True
21|mob||False
21|nobz||False
21|core||False
21|infantry||False
21|ork||True
21|<clan>||True
22|character||False
22|nob||False
22|infantry||False
22|ork||True
22|<clan>||True
24|mega armour||False
24|core||False
24|meganobz||False
24|infantry||False
24|nobz||False
24|mob||False
24|ork||True
24|<clan>||True
25|core||False
25|kommandos||False
25|mob||False
25|infantry||False
25|tankbusta bombs||False
25|<clan>||True
25|ork||True
26|trukk||False
26|transport||False
26|vehicle||False
26|<clan>||True
26|ork||True
27|infantry||False
27|core||False
27|mob||False
27|stormboyz||False
27|jump pack||False
27|fly||False
27|<clan>||True
27|ork||True
28|vehicle||False
28|fly||False
28|speed freeks||False
28|deffkoptas||False
28|<clan>||True
28|ork||True
29|fly||False
29|vehicle||False
29|dakkajet||False
29|aircraft||False
29|ork||True
29|<clan>||True
30|fly||False
30|burna-bommer||False
30|vehicle||False
30|aircraft||False
30|<clan>||True
30|ork||True
31|blitza-bommer||False
31|aircraft||False
31|vehicle||False
